epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1557.57,0.49993,0.82593,0.38932,0.93578,0.81176,0.8367,0.85843,0.65251,0.81981,0.83046,0.86207,0.58117,0.63453,1.29259,0.43783,0.97961,0.0008045,0.0008045,0.0008045
110,1571.78,0.49217,0.80778,0.36883,0.93388,0.8062,0.83909,0.82239,0.63202,0.78941,0.82851,0.82918,0.57671,0.61588,1.33242,0.44507,0.97199,0.000800375,0.000800375,0.000800375
111,1585.9,0.48696,0.80185,0.36336,0.93686,0.80436,0.84009,0.84778,0.63592,0.82632,0.75662,0.82575,0.57862,0.68418,1.58094,0.45079,1.00124,0.00079625,0.00079625,0.00079625
112,1600,0.47888,0.77181,0.3669,0.92711,0.79401,0.85417,0.84661,0.63769,0.75077,0.81405,0.81882,0.56503,0.65556,1.70298,0.44226,0.98034,0.000792125,0.000792125,0.000792125
113,1614.09,0.47477,0.77901,0.36311,0.92591,0.8519,0.79767,0.85026,0.64638,0.84168,0.77504,0.84816,0.58612,0.63966,1.5918,0.45819,0.98123,0.000788,0.000788,0.000788
114,1628.28,0.47876,0.78917,0.36495,0.93303,0.79029,0.85026,0.84048,0.65238,0.77558,0.83561,0.8364,0.57911,0.60465,1.39803,0.45121,0.97179,0.000783875,0.000783875,0.000783875
115,1642.41,0.48102,0.77942,0.35999,0.92705,0.8338,0.83873,0.86641,0.64653,0.84474,0.80863,0.85194,0.57824,0.61089,1.52116,0.44373,0.96546,0.00077975,0.00077975,0.00077975
116,1656.48,0.49231,0.81689,0.38299,0.93495,0.83426,0.83985,0.85586,0.65206,0.82093,0.80486,0.84593,0.58439,0.63044,1.57702,0.45063,0.98388,0.000775625,0.000775625,0.000775625
117,1670.52,0.48346,0.77927,0.35524,0.92637,0.8105,0.84812,0.85066,0.64259,0.79383,0.83046,0.8479,0.56698,0.62749,1.43349,0.45362,0.98398,0.0007715,0.0007715,0.0007715
118,1684.58,0.46996,0.75128,0.35209,0.9129,0.85172,0.83337,0.85785,0.64615,0.83701,0.81756,0.859,0.57511,0.62912,1.26438,0.42727,0.98431,0.000767375,0.000767375,0.000767375
119,1698.7,0.46154,0.74106,0.35875,0.91306,0.83227,0.83657,0.866,0.6507,0.83528,0.83516,0.87162,0.5826,0.64405,1.25973,0.43088,0.99519,0.00076325,0.00076325,0.00076325
120,1712.76,0.47666,0.78066,0.3574,0.92829,0.79639,0.85016,0.85093,0.64692,0.78062,0.84332,0.84872,0.57921,0.63161,1.54273,0.44562,0.98671,0.000759125,0.000759125,0.000759125
121,1726.81,0.47501,0.78458,0.36244,0.926,0.85781,0.80639,0.8534,0.64514,0.82486,0.83401,0.8763,0.57908,0.62348,1.48005,0.43952,0.97654,0.000755,0.000755,0.000755
122,1740.88,0.46775,0.77914,0.35582,0.92033,0.82227,0.82676,0.85411,0.66085,0.84213,0.78906,0.84987,0.57432,0.60581,1.40252,0.43768,0.96952,0.000750875,0.000750875,0.000750875
123,1754.93,0.46382,0.75173,0.34435,0.92827,0.81042,0.84445,0.84527,0.64171,0.77746,0.8239,0.83283,0.57223,0.64042,1.43504,0.45022,0.97576,0.00074675,0.00074675,0.00074675
124,1769.06,0.46164,0.7576,0.35238,0.91448,0.87438,0.82307,0.85648,0.64497,0.86724,0.787,0.8541,0.56816,0.64304,1.41075,0.47079,0.98191,0.000742625,0.000742625,0.000742625
125,1783.11,0.47408,0.78804,0.36004,0.91936,0.81329,0.84138,0.84355,0.64729,0.82549,0.81174,0.85312,0.58307,0.63689,1.3787,0.42431,0.98505,0.0007385,0.0007385,0.0007385
126,1797.16,0.46746,0.76711,0.35696,0.91593,0.80723,0.84353,0.83149,0.62546,0.80055,0.84452,0.83442,0.55391,0.62248,1.39826,0.44122,0.98435,0.000734375,0.000734375,0.000734375
